COBERTURA_NETA,Casos_Zika,DESERCIÓN,Lluvia-14d-prev,Lluvia-21d-prev,Lluvia-7d-prev,MORTALIDAD_INFANTIL_POR_MIL_NACIDOS,NAME,NBI,POBLACIÓN_5_16,SEDES_CONECTADAS_A_INTERNET,TASA_MATRICULACIÓN_5_16
83.23,1,2.94,0,0,47,30.69,Colombia-Valle_Del_Cauca-Buenaventura,35.85,94529,33.03,83.49
69.1,1,1.24,34,0,51,16.27,Colombia-Boyaca-Buenavista,61.34,1327,7.69,69.1
90.0,0,8.58,2,0,12,13.84,Colombia-Quindio-Buenavista,61.34,560,0.0,90.0
88.83,0,3.81,301,1,182,20.93,Colombia-Sucre-Buenavista,61.34,2309,18.18,88.91
86.29,0,1.18,0,0,1,26.95,Colombia-Cordoba-Buenavista,61.34,5586,32.5,86.29
66.08,0,1.39,0,0,43,30.19,Colombia-Cauca-Buenos_Aires,57.89,7586,42.19,66.08
74.3,0,0.45,0,5,2,19.19,Colombia-Nariño-Buesaco,58.64,5299,22.22,74.3
95.28,1,1.72,0,0,10,14.22,Colombia-Valle_Del_Cauca-Bugalagrande,21.31,3815,12.2,95.31
114.69,0,5.06,1,0,5,22.99,Colombia-Antioquia-Buritica,70.3,1532,31.03,114.69
0.0,0,4.11,145,1,33,25.44,Colombia-Boyaca-Busbanza,57.97,223,50.0,29.6
85.32,0,3.04,51,9,44,17.05,Colombia-Cundinamarca-Cabrera,40.13,1110,20.0,85.32
59.2,0,0.0,465,0,39,18.39,Colombia-Santander-Cabrera,40.13,527,12.5,59.2
131.57,0,7.92,202,0,55,27.65,Colombia-Meta-Cabuyaro,44.0,963,70.0,131.57
0.0,0,0.0,45,0,51,39.63,Colombia-Guainia-Cacahual,100.0,822,16.67,0.0
76.33,0,2.85,0,5,6,23.53,Colombia-Antioquia-Caceres,66.81,10702,76.92,76.33
55.77,0,3.57,49,7,58,12.98,Colombia-Cundinamarca-Cachipay,21.43,2521,23.08,55.81
77.07,0,2.91,294,0,39,11.23,Colombia-Norte_Santander-Cachira,49.2,2708,7.14,77.07
103.86,0,4.33,294,0,39,25.77,Colombia-Norte_Santander-Cacota,52.8,440,21.43,103.86
81.35,0,6.76,1,0,5,20.39,Colombia-Antioquia-Caicedo,63.85,2086,66.67,81.35
80.4,0,3.34,2,0,12,13.35,Colombia-Valle_Del_Cauca-Caicedonia,15.94,5424,4.88,80.4
104.63,0,1.72,0,0,1,26.81,Colombia-Sucre-Caimito,68.06,2893,37.04,104.63
85.27,0,4.93,2,0,12,19.39,Colombia-Tolima-Cajamarca,28.34,4453,20.51,85.27
75.34,0,2.06,0,0,44,21.27,Colombia-Cauca-Cajibio,63.74,9166,38.61,75.34
102.42,0,2.88,49,7,58,11.44,Colombia-Cundinamarca-Cajica,12.74,12375,23.53,103.86
55.93,0,4.31,130,1,69,29.2,Colombia-Guaviare-Calamar,28.52,2512,12.0,55.93
88.43,0,1.1,75,3,9,29.51,Colombia-Bolivar-Calamar,28.52,5989,62.5,88.53
79.67,0,5.69,2,0,12,13.76,Colombia-Quindio-Calarca,14.46,15331,0.0,79.69
87.15,0,1.34,222,0,24,16.52,Colombia-Boyaca-Caldas,13.02,724,23.08,87.15
82.02,1,2.66,1,0,5,9.34,Colombia-Antioquia-Caldas,13.02,14422,85.19,82.23
97.02,0,3.18,0,0,44,27.64,Colombia-Cauca-Caldono,69.87,8729,57.65,97.02
79.36,17,2.01,0,0,43,9.4,Colombia-Valle_Del_Cauca-Cali,11.01,440855,99.41,79.61
66.97,0,0.64,301,1,182,19.41,Colombia-Santander-California,26.64,442,50.0,66.97
100.9,0,2.46,0,0,43,13.51,Colombia-Valle_Del_Cauca-Calima,0.0,2765,13.64,100.9
0.0,0,1.28,0,0,43,27.17,Colombia-Cauca-Caloto,48.72,3790,51.16,0.0
87.17,0,3.93,1,0,5,21.71,Colombia-Antioquia-Campamento,100.0,2073,34.09,87.17
86.51,0,2.04,75,3,9,28.08,Colombia-Atlantico-Campo_de_la_Cruz,62.86,4455,100.0,86.51
82.69,4,7.74,9,0,16,15.32,Colombia-Huila-Campoalegre,26.67,7752,63.04,82.73
52.71,1,1.93,222,0,24,20.6,Colombia-Boyaca-Campohermoso,44.05,960,14.81,52.71
83.02,0,2.29,13,2,0,31.48,Colombia-Cordoba-Canalete,85.95,5358,17.07,83.02
80.49,2,2.54,3,3,0,27.7,Colombia-Antioquia-Cañasgordas,57.09,4132,49.21,80.49
88.72,0,0.92,75,3,9,15.93,Colombia-Atlantico-Candelaria,14.51,3156,100.0,88.78
102.15,0,3.38,0,0,43,13.37,Colombia-Valle_Del_Cauca-Candelaria,14.51,14072,29.03,102.17
84.36,0,3.17,294,0,39,17.15,Colombia-Bolivar-Cantagallo,61.88,2218,9.38,84.36
64.1,0,2.75,34,0,51,29.55,Colombia-Cundinamarca-Caparrapi,53.9,3401,21.52,64.1
92.85,0,1.17,181,15,258,19.13,Colombia-Santander-Capitanejo,46.27,1091,0.0,92.85
